"institute_name","Total_cases_to_date","Total_students_to_date","Total_staff_to_date","Date","Article","Total_outbreaks_to_date","Outbreak_dates","Outbreak_Status","School_board","Type_of_school","City","Province","Latitude","Longitude","Is_Single","Is_Outbreak","Is_Cluster","Last_Reported_Date","Difference_In_Days","Total_Cases_Summed"
"Glenlawn Collegiate","1; 1; 1; 3; 1; 2","1",NA,"2020-09-30; 2020-10-26; 2020-10-27; 2020-11-01; 2020-11-02; 2020-11-09","https://masks4canada.org/2020/10/05/covid-19-manitoba-bulletin-205-2020-09-30/;https://masks4canada.org/2020/10/28/winnipeg-covid-school-reports-2020-10-27/;https://masks4canada.org/2020/10/29/winnipeg-schools-covid-reports-2020-10-28/;https://masks4canada.org/2020/11/03/winnipeg-covid-school-report-2020-11-01/;https://covidschoolscanada.org/daily_reports/SUMMARY-2020-11-02T1545.html#Winnipeg_Regional_Health_Authority_changed;https://masks4canada.org/2020/11/12/winnipeg-covid-school-reports-2020-11-09/",0,NA,"Single/unlinked cases","Louis Riel SD","Secondary","Winnipeg","MB",49.8531404,-97.1123525,0,0,0,"2020-11-09",91,9
"Sisler High School","1; 1; 1; 1; 1; 1; 1; 1; 2; 2; 1",NA,NA,"2020-09-27; 2020-10-18; 2020-11-01; 2020-11-09; 2020-11-11; 2020-11-24; 2020-11-26; 2020-11-27; 2020-11-29; 2020-12-16; 2020-12-17; 2021-01-25; 2021-01-26; 2021-02-03","https://masks4canada.org/2020/10/05/covid-19-manitoba-sisler-high-school-2020-09-27/;https://masks4canada.org/2020/10/20/sisler-high-school-covid-letter-2/;https://covidschoolscanada.org/daily_reports/SUMMARY-2020-11-01T1545.html#Winnipeg_Regional_Health_Authority_changed;https://covidschoolscanada.org/daily_reports/SUMMARY-2020-11-09T1545.html#Winnipeg_Regional_Health_Authority_changed;https://masks4canada.org/2020/11/21/winnipeg-covid-school-reports/;https://masks4canada.org/2020/11/25/10237/; https://covidschoolscanada.org/daily_reports/SUMMARY-2020-11-30T1545.html#Winnipeg_Regional_Health_Authority_changed;https://covidschoolscanada.org/daily_reports/SUMMARY-2020-12-17T1630.html#Winnipeg_Regional_Health_Authority_changed;https://masks4canada.org/2020/12/21/manitoba-covid-reports-11/ ; https://drive.google.com/drive/folders/18jWlh0hwe2D2GkxHlsOHVhefqEAvOCqQ?usp=sharing",0,NA,"Single/unlinked cases","Winnipeg SD","Secondary","Winnipeg","MB",49.9317446,-97.1769784,0,0,0,"2021-02-03",5,13
"Iqra Islamic School","1;1",NA,NA,"2020-09-29; 2020-10-05","https://masks4canada.org/2020/10/05/covid-19-manitoba-bulletin-204-2020-09-29/;https://masks4canada.org/2020/10/09/manitoba-covid-19-bulletin-210-2020-10-05/",0,NA,"Single/unlinked cases","Indep Schools","Mixed","Winnipeg","MB",49.8932953,-97.1488114,0,0,0,"2020-10-05",126,2
"École Précieux-Sang (and Les Enfants Precieux Daycare)","1;1; 1",NA,NA,"2020-09-27; 2020-10-02; 2021-02-03","https://masks4canada.org/2020/10/05/covid-19-manitoba-bulletin-202-2020-09-27/; https://masks4canada.org/2020/10/05/covid-19-manitoba-bulletin-hugh-john-macdonald-school-2020-10-02/;",0,NA,"Single/unlinked cases","Franco-Manitobaine SD","Elementary","Winnipeg","MB",49.877917,-97.120931,0,0,0,"2021-02-03",5,3
"Hugh John MacDonald School","2; 1; 1; 1; 1",NA,NA,"2020-10-02; 2020-10-26; 2020-11-24; 2020-11-26; 2021-02-03","https://masks4canada.org/2020/10/05/covid-19-manitoba-bulletin-hugh-john-macdonald-school-2020-10-02; https://covidschoolscanada.org/daily_reports/SUMMARY-2020-10-26T1545.html#Winnipeg_Regional_Health_Authority;https://masks4canada.org/2020/11/30/manitoba-covid-school-reports-10/ ;https://covidschoolscanada.org/daily_reports/SUMMARY-2020-11-28T1545.html#Winnipeg_Regional_Health_Authority_changed",0,NA,"Single/unlinked cases","Winnipeg SD","Middle School","Winnipeg","MB",49.9022233,-97.1528682,0,0,0,"2021-02-03",5,6
"Van Wallaghem School (Lindenwoods Childcare Centre)","1",NA,NA,"2020-10-02","https://masks4canada.org/2020/10/05/covid-19-manitoba-bulletin-hugh-john-macdonald-school-2020-10-02;",0,NA,"Single/unlinked cases","Pembina Trails SD","Mixed","Winnipeg","MB",49.840282,-97.184704,0,0,0,"2020-10-02",129,1
"Stonewall Collegiate","1; 1",NA,NA,"2020-10-04; 2020-11-11","https://masks4canada.org/2020/10/09/manitoba-covid-19-bulletin-210-2020-10-05/;https://masks4canada.org/2020/11/23/manitoba-covid-school-reports-5/",0,NA,"Single/unlinked cases","Interlake SD","Secondary","Stonewall","MB",50.1363435,-97.3344098,0,0,0,"2020-11-11",89,2
"CollÃ¨ge Louis-Riel","1; 1; 2; 1; 3; 3; 1; 1; 2; 1; 1",NA,NA,"2020-09-21; 2020-10-05; 2020-10-23; 2020-10-26; 2020-10-28; 2020-11-02; 2020-11-03; 2020-11-05; 2020-11-05; 2020-11-29; 2020-12-16","https://masks4canada.org/2020/10/09/manitoba-covid-19-bulletin-210-2020-10-05/; https://masks4canada.org/2020/11/01/college-louis-riel-covid-school-reports-2/; https://news.gov.mb.ca/news/index.html?item=49493&posted=2020-10-29; https://masks4canada.org/2020/11/21/winnipeg-covid-school-reports/ ;https://covidschoolscanada.org/daily_reports/SUMMARY-2020-11-03T1545.html#Winnipeg_Regional_Health_Authority_changed;https://covidschoolscanada.org/daily_reports/SUMMARY-2020-11-05T1545.html#Winnipeg_Regional_Health_Authority_changed;https://masks4canada.org/2020/11/10/winnipeg-covid-school-report-2020-11-06/;https://masks4canada.org/2020/12/24/manitoba-covid-reports-12/ ;https://covidschoolscanada.org/daily_reports/SUMMARY-2020-12-21T1630.html#Winnipeg_Regional_Health_Authority_changed",1,"2020-10-29","Declared outbreak","Franco-Manitobaine SD","Mixed","Winnipeg","MB",49.8912558,-97.1155242,0,0,0,"2020-12-16",54,17
"Andrew Mynarski V.C. School","1; 2; 1; 1",NA,NA,"2020-10-06; 2020-11-10; 2020-11-20; 2020-12-11","https://masks4canada.org/2020/10/09/manitoba-covid-19-bulletin-211-2020-10-06/;https://masks4canada.org/2020/11/15/winnipeg-covid-schools-report-2020-11-14/;https://covidschoolscanada.org/daily_reports/SUMMARY-2020-11-22T1545.html#Winnipeg_Regional_Health_Authority_changed;https://masks4canada.org/2020/12/15/manitoba-2020-12-14/",0,NA,"Single/unlinked cases","Winnipeg SD","Middle School","Winnipeg","MB",49.9356997,-97.1635504,0,0,0,"2020-12-11",59,5
"Dufferin School","1; 1; 1",NA,NA,"2020-10-05; 2020-10-12; 2020-11-22","https://masks4canada.org/2020/10/24/dufferin-school-covid-reports/;https://masks4canada.org/2020/11/25/10237/",0,NA,"Single/unlinked cases","Winnipeg SD","Elementary","Winnipeg","MB",49.9060725,-97.1487206,0,0,0,"2020-11-22",78,3
"École Charleswood School","1; 1",NA,NA,"2020-10-07; 2020-11-22","https://masks4canada.org/2020/10/09/manitoba-covid-19-bulletin-212-2020-10-07/;https://masks4canada.org/2020/11/24/manitoba-covid-school-reports-7/",0,NA,"Single/unlinked cases","Pembina Trails SD","Middle School","Winnipeg","MB",49.8586632,-97.2697726,0,0,0,"2020-11-22",78,2
"École seven oaks middle school.","1; 1; 1; 1; 1; 1; 1",NA,NA,"2020-10-08; 2020-11-02; 2020-11-05; 2020-11-05; 2020-12-09; 2020-12-20; 2021-02-03","https://masks4canada.org/2020/10/09/manitoba-covid-19-bulletin-213-2020-10-07/;https://covidschoolscanada.org/daily_reports/SUMMARY-2020-11-05T1545.html#Winnipeg_Regional_Health_Authority_changed;https://masks4canada.org/2020/11/06/manitoba-school-covid-reports-2020-11-05/;https://covidschoolscanada.org/daily_reports/SUMMARY-2020-11-06T1545.html#Winnipeg_Regional_Health_Authority_changed;https://masks4canada.org/2020/12/11/manitoba-covid-reports-7/;https://covidschoolscanada.org/daily_reports/SUMMARY-2020-12-23T1630.html#Winnipeg_Regional_Health_Authority_changed",0,NA,"Single/unlinked cases","Seven Oaks SD","Middle School","Winnipeg","MB",49.9365696,-97.1248061,0,0,0,"2021-02-03",5,7
"Earl Grey School","1; 1; 1",NA,NA,"2020-10-08; 2020-12-20; 2021-01-17","https://masks4canada.org/2020/10/09/manitoba-covid-19-bulletin-213-2020-10-07/;https://masks4canada.org/2020/12/24/manitoba-covid-reports-12/ ; https://drive.google.com/drive/folders/1x5ZJ-4IbUajjXC2iJ2GJr6vRM3VMBshH?usp=sharing",0,NA,"Single/unlinked cases","Winnipeg SD","Mixed","Winnipeg","MB",49.8675323,-97.1507316,0,0,0,"2021-01-17",22,3
"Kleefeld School","1; 1",NA,NA,"2020-10-09; 2020-11-12","https://masks4canada.org/2020/10/14/manitoba-covid-bulletin-214-2020-10-09/;https://masks4canada.org/2020/11/22/manitoba-covid-school-reports-3/",0,NA,"Single/unlinked cases","Hanover SD","Mixed","Kleefeld","MB",49.4983928,-96.8774568,0,0,0,"2020-11-12",88,2
"Neelin High School","1",NA,NA,"2020-10-10","https://masks4canada.org/2020/10/14/manitoba-covid-bulletin-215-2020-10-10/",0,NA,"Single/unlinked cases","Brandon SD","Secondary","Brandon","MB",49.8323932,-99.9521808,0,0,0,"2020-10-10",121,1
