"institute.name","Total.cases.to.date","Total.students.to.date","Total.staff.to.date","Date","Article","Total.outbreaks.to.date","Outbreak.dates","Outbreak.Status","School.board","Type_of_school","City","Province","Latitude","Longitude"
"Stirling Public School","1","","","2020-11-21","https://masks4canada.org/2020/12/07/on-2020-12-07/",0,"","Single/unlinked cases","Hastings Prince Edward DSB","TBA","Stirling","ON",44.293575,-77.5536429
"C M L Snider Elementary School","1","","","2020-12-03","https://masks4canada.org/2020/12/07/on-2020-12-07/",0,"","Single/unlinked cases","Hastings Prince Edward DSB","TBA","Wellington","ON",43.9527626,-77.3466339
"St Marguerite d'Youville Catholic Elementary School","1 ; 1 ; 1","1 ; 1 ; 1",NA,"2020-10-25 ; 2020-10-27 ; 2020-12-18","https://masks4canada.org/2020/12/03/covid-19-school-report-hamilton-wentworth-cdsb-7/ ; https://masks4canada.org/2020/10/28/covid-19-school-report-hamilton-wentworth-catholic-dsb/ ;https://masks4canada.org/2020/10/28/covid-19-school-report-st-marguerite-dyouville-ces/;https://covidschoolscanada.org/daily_reports/SUMMARY-2020-12-20T1630.html#Upper_Grand_DSB_changed",1,"2020-10-28","Declared outbreak","Hamilton-Wentworth CDSB","TBA","Hamilton","ON",43.2040811,-79.8786797
"Hespeler Public School","1","1",NA,"2020-12-01","https://covidschoolscanada.org/daily_reports/SUMMARY-2020-12-02T1545.html#Waterloo_Regional_DSB_changed",0,NA,"Single/unlinked cases","Waterloo Regional DSB","TBA","Cambridge","ON",43.4207453,-80.3050266
"Collège français","1","1",NA,"2020-11-27","https://covidschoolscanada.org/daily_reports/SUMMARY-2020-11-27T1545.html",0,NA,"Single/unlinked cases","CS Viamonde","TBA","Toronto","ON",43.662428,-79.377583
"Port Colborne High School","1 ; 1","N/A","N/A","2020-11-30 ; 2020-12-03","https://covidschoolscanada.org/daily_reports/SUMMARY-2020-11-30T1545.html#Niagara_DSB_changed;https://covidschoolscanada.org/daily_reports/SUMMARY-2020-12-03T1737.html#Niagara_DSB_changed",0,"","Single/unlinked cases","Niagara DSB","Secondary","Port Colborne","ON",42.8886864,-79.2583879
"East Oro Public School","1","N/A","N/A","2020-11-30","https://covidschoolscanada.org/daily_reports/SUMMARY-2020-11-30T1545.html#Simcoe_County_DSB_changed",0,"","Single/unlinked cases","Simcoe County DSB","Elementary","Hawkestone","ON",44.5288972,-79.495076
"A.B. Academy","4",NA,NA,"2020-11-24","https://masks4canada.org/wp-admin/post.php?post=10555&action=edit",0,NA,"Single/unlinked cases","Halton DSB","TBA","Oakville","ON",43.4465785,-79.696926
"A J Charbonneau Elementary Public School","1","N/A","1","2020-11-27","https://covidschoolscanada.org/daily_reports/SUMMARY-2020-11-27T1545.html#Renfrew_County_DSB_changed",0,"","Single/unlinked cases","Renfrew County DSB","Elementary","Arnprior","ON",45.4296662,-76.3733375
"Renfrew Collegiate Institute","1 ; 1","1 ; 1","N/A","2020-11-27 ; 2020-12-08","https://covidschoolscanada.org/daily_reports/SUMMARY-2020-11-27T1545.html#Renfrew_County_DSB_changed;https://covidschoolscanada.org/daily_reports/SUMMARY-2020-12-08T1730.html#Renfrew_County_DSB_changed",0,"","Single/unlinked cases","Renfrew County DSB","Secondary","Renfrew","ON",45.4703261,-76.6869398
"Jean Steckle Public School","1","1",NA,"2020-11-24","https://covidschoolscanada.org/daily_reports/SUMMARY-2020-11-25T1545.html#Waterloo_Regional_DSB_changed",0,NA,"Single/unlinked cases","Waterloo Regional DSB","TBA","Kitchener","ON",43.3880671,-80.485129
"Preston High School","1","1",NA,"2020-11-24","https://covidschoolscanada.org/daily_reports/SUMMARY-2020-11-25T1545.html#Waterloo_Regional_DSB_changed",0,NA,"Single/unlinked cases","Waterloo Regional DSB","TBA","Cambridge","ON",43.3908104,-80.365343
"École élémentaire catholique des Pins","1",NA,NA,"2020-11-20","https://covidschoolscanada.org/daily_reports/SUMMARY-2020-11-20T1545.html#%C3%89coles_catholiques_Centre-Est_(CECCE)_changed",0,NA,"Single/unlinked cases","CECCE","TBA","Gloucester","ON",45.4215579,-75.6049162
"Henry Street High School","1 ; 1 ; 1",NA,NA,"2020-11-10 ; 2020-11-21 ; 2020-12-23","https://covidschoolscanada.org/daily_reports/SUMMARY-2020-11-10T2228.html ;https://covidschoolscanada.org/daily_reports/SUMMARY-2020-11-21T1545.html;https://covidschoolscanada.org/daily_reports/SUMMARY-2020-12-23T1630.html",0,NA,"Single/unlinked cases","Durham DSB","TBA","Whitby","ON",43.8725078,-78.9452138
"Maxwell Heights Secondary School","1 ; 2 ; 1 ; 1 ; 1 ; 1",NA,NA,"2020-11-21 ; 2020-11-28 ; 2020-12-01 ; 2020-12-03 ; 2020-12-08 ; 2020-12-12","https://covidschoolscanada.org/daily_reports/SUMMARY-2020-11-21T1545.html#Durham_DSB_changed ; https://covidschoolscanada.org/daily_reports/SUMMARY-2020-11-28T1545.html; https://covidschoolscanada.org/daily_reports/SUMMARY-2020-12-03T1737.html ;https://covidschoolscanada.org/daily_reports/SUMMARY-2020-12-01T1545.html; https://covidschoolscanada.org/daily_reports/SUMMARY-2020-12-08T1730.html;https://covidschoolscanada.org/daily_reports/SUMMARY-2020-12-12T1630.html",0,NA,"Single/unlinked cases","Durham DSB","TBA","Oshawa","ON",43.9452973,-78.8507544
"Our Lady of Victory Catholic School","1;1;1","1;1;1",NA,"2020-11-22 ; 2020-11-29 ; 2020-12-16","https://covidschoolscanada.org/daily_reports/SUMMARY-2020-11-23T1545.html;https://covidschoolscanada.org/daily_reports/SUMMARY-2020-11-30T1545.html;https://covidschoolscanada.org/daily_reports/SUMMARY-2020-12-16T1630.html",0,NA,"Single/unlinked cases","Toronto CDSB","TBA","York","ON",43.6836212,-79.4896321
"Donald A Wilson SS","1 ; 1",NA,NA,"2020-11-17 ; 2020-11-24","https://covidschoolscanada.org/daily_reports/SUMMARY-2020-11-17T1545.html;https://covidschoolscanada.org/daily_reports/SUMMARY-2020-11-24T1545.html",0,NA,"Single/unlinked cases","Durham DSB","TBA","Whitby","ON",43.8930164,-78.9644225
"John Sweeney Catholic School","1 ; 1 ; 1 ; 2","1 ; 2","1 ; 1","2020-11-18 ; 2020-11-26 ; 2020-12-11 ; 2020-12-13","https://covidschoolscanada.org/daily_reports/SUMMARY-2020-11-19T1545.html#Waterloo_CDSB_changed ; https://covidschoolscanada.org/daily_reports/SUMMARY-2020-11-27T1545.html#Waterloo_CDSB_changed;https://covidschoolscanada.org/daily_reports/SUMMARY-2020-12-12T1630.html#Waterloo_CDSB_changed;https://covidschoolscanada.org/daily_reports/SUMMARY-2020-12-14T1630.html#Waterloo_CDSB_changed",0,NA,"Single/unlinked cases","Waterloo CDSB","TBA","Kitchener","ON",43.4073543,-80.5117976
"Ken Danby Public School","1",NA,NA,"2020-11-10","https://covidschoolscanada.org/daily_reports/SUMMARY-2020-11-10T2228.html#Upper_Grand_DSB_changed",0,NA,"Single/unlinked cases","Upper Grand DSB","TBA","Guelph","ON",43.5704342,-80.2212388
"King George Public School","1",NA,NA,"2020-11-10","https://covidschoolscanada.org/daily_reports/SUMMARY-2020-11-10T2228.html#Upper_Grand_DSB_changed",0,NA,"Single/unlinked cases","Upper Grand DSB","TBA","Guelph","ON",43.5546803,-80.2470722
"Prince Philip Public School","1 ; 1","N/A","N/A","2020-11-19 ; 2020-11-25","https://covidschoolscanada.org/daily_reports/SUMMARY-2020-11-19T1545.html#Niagara_DSB_changed;https://covidschoolscanada.org/daily_reports/SUMMARY-2020-11-25T1545.html#Niagara_DSB_changed",0,"","Single/unlinked cases","Niagara DSB","Elementary","Niagara Falls","ON",43.126797,-79.1107772
"Boyne River Public School","1 ; 1 ; 1","N/A","N/A","2020-11-17 ; 2020-11-19 ; 2020-12-07","https://covidschoolscanada.org/daily_reports/SUMMARY-2020-11-17T1545.html#Simcoe_County_DSB_changed;https://covidschoolscanada.org/daily_reports/SUMMARY-2020-11-19T1545.html#Simcoe_County_DSB_changed;https://covidschoolscanada.org/daily_reports/SUMMARY-2020-12-07T1545.html#Simcoe_County_DSB_changed",0,"","Single/unlinked cases","Simcoe County DSB","Elementary","Alliston","ON",44.1623163,-79.8532405
"St. James Catholic Elementary School","1 ; 1","N/A","N/A","2020-11-15 ; 2020-11-16","https://covidschoolscanada.org/daily_reports/SUMMARY-2020-11-15T1545.html#Niagara_Catholic_DSB_changed;https://covidschoolscanada.org/daily_reports/SUMMARY-2020-11-16T1545.html#Niagara_Catholic_DSB_changed",0,"","Single/unlinked cases","Niagara CDSB","Elementary","St Catharines","ON",43.2032845,-79.2430918
"St. Teresa of Calcutta Catholic Elementary School","1","1",NA,"2020-11-14","https://covidschoolscanada.org/daily_reports/SUMMARY-2020-11-15T1545.html#Waterloo_CDSB_changed",0,NA,"Single/unlinked cases","Waterloo CDSB","TBA","City of Cambridge","ON",43.390561,-80.2831819
"Hess Street Public School","1","1",NA,"2020-11-15","https://covidschoolscanada.org/daily_reports/SUMMARY-2020-11-15T1545.html#Hamilton-Wentworth_DSB_changed",0,NA,"Single/unlinked cases","Hamilton-Wentworth DSB","TBA","Hamilton","ON",43.2632755,-79.8758012
"Brooklin High School","1 ; 3",NA,NA,"2020-11-10 ; 2020-12-23","https://covidschoolscanada.org/daily_reports/SUMMARY-2020-11-10T1545.html;https://covidschoolscanada.org/daily_reports/SUMMARY-2020-12-23T1630.html;https://masks4canada.org/2020/12/23/brooklin-high-school-outbreak-halton-region-2020-12-22/",1,"2020-12-21","Declared outbreak","Durham DSB","TBA","Whitby","ON",43.9671382,-78.959965
"Havergal College","1","1","","2020-11-09","https://masks4canada.org/2020/11/11/havergal-college/",0,"","Single/unlinked cases","Private","TBA","North York","ON",43.720253,-79.4134179
"Saint Francis Xavier Catholic Secondary School","2 ; 2",NA,NA,"2020-11-11 ; 2020-11-17","https://covidschoolscanada.org/daily_reports/SUMMARY-2020-11-11T1545.html;https://covidschoolscanada.org/daily_reports/SUMMARY-2020-11-17T1545.html",0,NA,"Single/unlinked cases","Halton CDSB","TBA","Milton","ON",43.4868717,-79.8575583
"River Oaks Public School","2",NA,NA,"2020-11-11","https://covidschoolscanada.org/daily_reports/SUMMARY-2020-11-11T1545.html",0,NA,"Single/unlinked cases","Halton DSB","TBA","Oakville","ON",43.4649869,-79.7216712
"Governor Simcoe Secondary School","1","N/A","N/A","2020-11-09","https://covidschoolscanada.org/daily_reports/SUMMARY-2020-11-09T1545.html#Niagara_DSB_changed",0,"","Single/unlinked cases","Niagara DSB","Secondary","St Catharines","ON",43.2024634,-79.2339567
"DASS Simcoe St.","1",NA,NA,"2020-11-07","https://covidschoolscanada.org/daily_reports/SUMMARY-2020-11-07T1545.html",0,NA,"Single/unlinked cases","Durham DSB","TBA","Oshawa","ON",43.8908054,-78.8613545
"École Élémentaire Pavillon de la Jeunesse","1;1","1","1","2020-11-08 ; 2020-11-30","https://covidschoolscanada.org/daily_reports/SUMMARY-2020-11-08T1545.html ;https://covidschoolscanada.org/daily_reports/SUMMARY-2020-11-30T1545.html#CS_Viamonde_changed",0,NA,"Single/unlinked cases","CS Viamonde","Elementary","Hamilton","ON",43.22647,-79.8242
"Bloorview School Authority","1;1","1",NA,"2020-11-08; 2020-12-08","https://masks4canada.org/2020/11/09/ontario-2020-11-08/;https://masks4canada.org/2020/12/16/tph-declared-covid-19-outbreaks-in-school-2020-12-15/",1,"2020-12-15","Declared outbreak","Bloorview School Authority","TBA","Toronto","ON",43.7182677,-79.374123
"Grey Highlands Secondary School","1","1",NA,"2020-11-03","https://masks4canada.org/2020/11/09/ontario-2020-11-08/;",0,"","Single/unlinked cases","Bluewater DSB","TBA","Grey Highlands","ON",44.2571104,-80.5439098
"St. John Henry Newman Catholic Secondary School","1 ; 1 ; 1 ; 1 ; 1 ; 1","1 ; 1 ; 1 ; 1","1 ; 1","2020-10-27 ; 2020-11-05 ; 2020-11-12 ; 2020-11-14 ; 2020-12-08 ; 2020-12-18","https://masks4canada.org/2020/10/28/covid-19-school-report-hamilton-wentworth-catholic-dsb/ ; https://masks4canada.org/2020/11/05/covid-19-school-report-st-john-henry-newman-css/ ; https://masks4canada.org/2020/11/17/covid-19-school-report-hamilton-wentworth-cdsb-2/ ; https://masks4canada.org/2020/12/10/covid-19-school-report-cases-and-outbreak-2/;https://covidschoolscanada.org/daily_reports/SUMMARY-2020-12-20T1630.html#Upper_Grand_DSB_changed",0,NA,"Single/unlinked cases","Hamilton-Wentowrth CDSB","TBA","Stoney Creek","ON",43.2221861,-79.7464701
"Lambeth Elementary School","2",NA,NA,"2020-11-04","https://covidschoolscanada.org/daily_reports/SUMMARY-2020-11-05T1545.html#Thames_Valley_DSB_changed",0,NA,"Single/unlinked cases","Thames Valley DSB","TBA","London","ON",42.913418,-81.2976024
"Ancaster High School","1 ; 1 ; 1 ; 1 ; 1 ; 1 ; 1","1 ; 1 ; 1 ; 1 ; 1 ; 1 ; 1",NA,"2020-11-04 ; 2020-11-05 ; 2020-11-07 ; 2020-11-26 ; 2020-11-27 ; 2020-12-01 ; 2020-12-02","https://covidschoolscanada.org/daily_reports/SUMMARY-2020-11-05T1545.html#Hamilton-Wentworth_DSB_changed;https://covidschoolscanada.org/daily_reports/SUMMARY-2020-11-06T1545.html#Hamilton-Wentworth_DSB_changed;https://covidschoolscanada.org/daily_reports/SUMMARY-2020-11-08T1545.html#Hamilton-Wentworth_DSB_changed;https://covidschoolscanada.org/daily_reports/SUMMARY-2020-11-27T1545.html#Hamilton-Wentworth_DSB_changed ;https://covidschoolscanada.org/daily_reports/SUMMARY-2020-11-28T1545.html#Hamilton-Wentworth_DSB_changed;https://covidschoolscanada.org/daily_reports/SUMMARY-2020-12-02T1545.html#Hamilton-Wentworth_DSB_changed;https://covidschoolscanada.org/daily_reports/SUMMARY-2020-12-03T1737.html#Hamilton-Wentworth_DSB_changed",0,NA,"Single/unlinked cases","Hamilton-Wentworth DSB","TBA","Ancaster","ON",43.2157364,-80.0044959
"École élémentaire catholique des Pionniers","2;1;3;2;1;1;1","NA;NA;NA;NA;NA;NA;NA","NA;NA;NA;NA;NA;NA;NA","2020-11-05;2020-11-09;2020-11-10;2020-11-12;2020-11-16;2020-11-18;2020-12-07","https://covidschoolscanada.org/daily_reports/SUMMARY-2020-11-05T1545.html#%C3%89coles_catholiques_Centre-Est_(CECCE)_changed;https://covidschoolscanada.org/daily_reports/SUMMARY-2020-11-09T1545.html#%C3%89coles_catholiques_Centre-Est_(CECCE)_changed;https://covidschoolscanada.org/daily_reports/SUMMARY-2020-11-09T1545.html#Ottawa_PHU_changed;https://covidschoolscanada.org/daily_reports/SUMMARY-2020-11-10T1545.html#%C3%89coles_catholiques_Centre-Est_(CECCE)_changed;https://covidschoolscanada.org/daily_reports/SUMMARY-2020-11-12T1545.html#%C3%89coles_catholiques_Centre-Est_(CECCE)_changed;https://covidschoolscanada.org/daily_reports/SUMMARY-2020-11-16T1545.html#%C3%89coles_catholiques_Centre-Est_(CECCE)_changed;https://covidschoolscanada.org/daily_reports/SUMMARY-2020-11-18T1545.html#%C3%89coles_catholiques_Centre-Est_(CECCE)_changed;https://covidschoolscanada.org/daily_reports/SUMMARY-2020-12-07T1545.html#%C3%89coles_catholiques_Centre-Est_(CECCE)_changed",1,"2020-11-07","Declared outbreak","CECCE","TBA","Cumberland","ON",45.473832,-75.4816206
"Fred C. Cook Public School","1","N/A","N/A","2020-11-05","https://covidschoolscanada.org/daily_reports/SUMMARY-2020-11-05T1545.html#York_Regional_DSB_changed",0,"","Single/unlinked cases","Simcoe County DSB","Elementary","Bradford","ON",44.1199493,-79.5678175
"Portage View Public School","1 ; 1 ; 2 ; 1","N/A","N/A","2020-11-05 ; 2020-11-30 ; 2020-12-07 ; 2020-12-11","https://covidschoolscanada.org/daily_reports/SUMMARY-2020-11-05T1545.html#York_Regional_DSB_changed;https://covidschoolscanada.org/daily_reports/SUMMARY-2020-11-30T1545.html#Simcoe_County_DSB_changed;https://covidschoolscanada.org/daily_reports/SUMMARY-2020-12-07T1545.html#Simcoe_County_DSB_changed;https://covidschoolscanada.org/daily_reports/SUMMARY-2020-12-11T1630.html#Simcoe_County_DSB_changed",0,"","Single/unlinked cases","Simcoe County DSB","Elementary","Barrie","ON",44.392613,-79.715385
"Valour JK-12 School","2 ; 2","2 ; 2",NA,"2020-11-02 ; 2020-11-09","https://covidschoolscanada.org/daily_reports/SUMMARY-2020-11-02T1545.html#Renfrew_County_DSB_changed;https://covidschoolscanada.org/daily_reports/SUMMARY-2020-11-09T1545.html#Renfrew_County_DSB_changed",0,NA,"Single/unlinked cases","Renfrew County DSB","TBA","Petawawa","ON",45.8953265,-77.2558624
"St. Dominic Savio Catholic School","1 ; 1","1","1","2020-11-02 ; 2020-12-20","https://covidschoolscanada.org/daily_reports/SUMMARY-2020-11-03T1545.html#Waterloo_CDSB_changed;https://covidschoolscanada.org/daily_reports/SUMMARY-2020-12-21T1630.html#Waterloo_CDSB_changed",0,NA,"Single/unlinked cases","Waterloo CDSB","TBA","Kitchener","ON",43.43375,-80.540769
"Northbrae Public School","1","1",NA,"2020-11-02","https://covidschoolscanada.org/daily_reports/SUMMARY-2020-11-03T1545.html#Thames_Valley_DSB_changed",0,NA,"Single/unlinked cases","Thames Valley DSB","TBA","London","ON",43.0161946,-81.2407398
"James Macdonald Public School","1 ; 1","1 ; 1",NA,"2020-11-02 ; 2020-11-22","https://covidschoolscanada.org/daily_reports/SUMMARY-2020-11-03T1545.html#Hamilton-Wentworth_DSB_changed;https://covidschoolscanada.org/daily_reports/SUMMARY-2020-11-23T1545.html#Hamilton-Wentworth_DSB_changed",0,NA,"Single/unlinked cases","Hamilton-Wentworth DSB","TBA","Hamilton","ON",43.2181245,-79.8971584
"Winona Elementary School","1","1",NA,"2020-11-02","https://covidschoolscanada.org/daily_reports/SUMMARY-2020-11-03T1545.html#Hamilton-Wentworth_DSB_changed",0,NA,"Single/unlinked cases","Hamilton-Wentworth DSB","TBA","Stoney Creek","ON",43.2135056,-79.6604681
"Orchard Park Secondary School","1 ; 1 ; 1 ; 1 ; 1 ; 1","1 ; 1 ; 1 ; 1 ; 1",NA,"2020-11-02 ; 2020-11-03 ; 2020-11-09 ; 2020-12-06 ; 2020-12-10 ; 2020-12-22","https://covidschoolscanada.org/daily_reports/SUMMARY-2020-11-03T1545.html#Hamilton-Wentworth_DSB_changed ; https://covidschoolscanada.org/daily_reports/SUMMARY-2020-11-04T1545.html#Hamilton-Wentworth_DSB_changed ; https://covidschoolscanada.org/daily_reports/SUMMARY-2020-11-10T2228.html#Hamilton-Wentworth_DSB_changed ; https://covidschoolscanada.org/daily_reports/SUMMARY-2020-12-06T1545.html#Hamilton-Wentworth_DSB_changed ; https://covidschoolscanada.org/daily_reports/SUMMARY-2020-12-11T1630.html#Hamilton-Wentworth_DSB_changed;https://covidschoolscanada.org/daily_reports/SUMMARY-2020-12-22T1630.html#Hamilton-Wentworth_DSB_changed",0,NA,"Single/unlinked cases","Hamilton-Wentworth DSB","TBA","Hamilton","ON",43.2182862,-79.711475
"Bishop Smith Catholic High School","1 ; 1","1","1","2020-11-03 ; 2020-11-07","https://covidschoolscanada.org/daily_reports/SUMMARY-2020-11-03T1545.html#Renfrew_County_CDSB_changed;https://covidschoolscanada.org/daily_reports/SUMMARY-2020-11-07T1545.html#Renfrew_County_CDSB_changed",0,"","Single/unlinked cases","Renfrew County CDSB","Secondary","Pembroke","ON",45.818799,-77.117062
"St. Elizabeth Seton Catholic Elementary School","1",NA,NA,"2020-11-01","https://covidschoolscanada.org/daily_reports/SUMMARY-2020-11-01T1545.html ;https://www.theifp.ca/news-story/10236453-burlington-school-reporting-its-first-covid-19-case/",0,NA,"Single/unlinked cases","Halton CDSB","TBA","Burlington","ON",43.3997762,-79.7942573
"St. Thomas More Catholic Secondary School","1 ; 1 ; 1 ; 2 ; 1 ; 1 ; 1 ; 1 ; 2","1 ; 1 ; 1 ; 2 ; 1 ; 1 ; 1 ; 2","1","2020-10-29 ; 2020-10-30 ; 2020-11-29 ; 2020-12-03 ; 2020-12-05 ; 2020-12-09 ; 2020-12-10 ; 2020-12-14 ; 2020-12-15","https://masks4canada.org/2020/10/31/covid-19-school-report-st-thomas-more-css/ ;https://masks4canada.org/2020/10/31/covid-19-school-report-st-thomas-more-css/ ; https://masks4canada.org/2020/11/30/covid-19-schol-report-hamilton-wentworth-cdsb/ ; https://masks4canada.org/2020/12/06/covid-19-school-report-cases-and-outbreak/ ; https://masks4canada.org/2020/12/10/covid-19-school-report-cases-and-outbreak-2/ ; https://masks4canada.org/2020/12/11/covid-19-school-report-hamilton-wentworth-cdsb-8/ ; https://masks4canada.org/2020/12/15/covid-19-school-report-hamilton-wentworth-cases-and-outbreak/;https://masks4canada.org/2020/12/16/covid-19-school-report-hamilton-wentworth-cases-and-outbreak-2/",0,NA,"Single/unlinked cases","Hamilton-Wentworth CDSB","Secondary","Hamilton","ON",43.2136953,-79.9193025
"Lexington Public School","1 ; 1 ; 1","1 ; 1","1","2020-10-29 ; 2020-11-06 ; 2020-11-08","https://covidschoolscanada.org/daily_reports/SUMMARY-2020-10-30T1545.html#Waterloo_Regional_DSB_changed;https://covidschoolscanada.org/daily_reports/SUMMARY-2020-11-07T1545.html#Waterloo_Regional_DSB_changed;https://covidschoolscanada.org/daily_reports/SUMMARY-2020-11-09T1545.html#Waterloo_Regional_DSB_changed",0,NA,"Single/unlinked cases","Waterloo Regional DSB","Elementary","Waterloo","ON",43.50175,-80.4965194
"Orangeville District Secondary School","1 ; 1 ; 2 ; 2 ; 1",NA,NA,"2020-10-29 ; 2020-12-13 ; 2020-12-15 ; 2020-12-16 ; 2020-12-20","https://covidschoolscanada.org/daily_reports/SUMMARY-2020-10-30T1545.html#Upper_Grand_DSB_changed ; https://covidschoolscanada.org/daily_reports/SUMMARY-2020-12-14T1630.html#Upper_Grand_DSB_changed ; https://covidschoolscanada.org/daily_reports/SUMMARY-2020-12-16T1630.html#Upper_Grand_DSB_changed ; https://covidschoolscanada.org/daily_reports/SUMMARY-2020-12-17T1630.html#Upper_Grand_DSB_changed;https://covidschoolscanada.org/daily_reports/SUMMARY-2020-12-22T1630.html#Upper_Grand_DSB_changed",0,NA,"Single/unlinked cases","Upper Grand DSB","Secondary","Orangeville","ON",43.9238354,-80.1033358
"A.B. Lucas Secondary School","1",NA,NA,"2020-10-29","https://covidschoolscanada.org/daily_reports/SUMMARY-2020-10-30T1545.html#Thames_Valley_DSB_changed",0,NA,"Single/unlinked cases","Thames Valley DSB","Secondary","London","ON",43.0326154,-81.2470937
"Helen Detwiler Junior Elementary","1 ; 1 ; 1 ; 1","1 ; 1 ; 1","1","2020-10-29 ; 2020-11-14 ; 2020-11-17 ; 2020-12-13","https://covidschoolscanada.org/daily_reports/SUMMARY-2020-10-30T1545.html#Hamilton-Wentworth_DSB_changed ; https://covidschoolscanada.org/daily_reports/SUMMARY-2020-11-15T1545.html#Hamilton-Wentworth_DSB_changed ; https://covidschoolscanada.org/daily_reports/SUMMARY-2020-11-18T1545.html#Hamilton-Wentworth_DSB_changed;https://covidschoolscanada.org/daily_reports/SUMMARY-2020-12-14T1630.html#Hamilton-Wentworth_DSB_changed",0,NA,"Single/unlinked cases","Hamilton-Wentworth DSB","Elementary","Hamilton","ON",43.2027341,-79.8788026
"Ridgemount School","1","1",NA,"2020-10-29","https://covidschoolscanada.org/daily_reports/SUMMARY-2020-10-30T1545.html#Hamilton-Wentworth_DSB_changed",0,NA,"Single/unlinked cases","Hamilton-Wentworth DSB","Elementary","Hamilton","ON",43.2245936,-79.8796123
"Ajax High School","1 ; 1 ; 1",NA,NA,"2020-10-23 ; 2020-11-05 ; 2020-12-04","https://covidschoolscanada.org/daily_reports/SUMMARY-2020-10-23T1545.html ; https://covidschoolscanada.org/daily_reports/SUMMARY-2020-11-05T1545.html;https://covidschoolscanada.org/daily_reports/SUMMARY-2020-12-04T1545.html",0,NA,"Single/unlinked cases","Durham DSB","Secondary","Ajax","ON",43.8442251,-79.0139556
"Sherwood Public School","2 ; 1",NA,NA,"2020-10-29 ; 2020-12-09","https://covidschoolscanada.org/daily_reports/SUMMARY-2020-10-29T1545.html ;https://www.durhamradionews.com/archives/130034;https://covidschoolscanada.org/daily_reports/SUMMARY-2020-12-09T1730.html",0,NA,"Single/unlinked cases","Durham DSB","Mixed","Oshawa","ON",43.942723,-78.863364
