"institute.name","School.board","City.x","School.Code","School.Name","Board.Name","City.y","mm","city_match"
"Orangeville District Secondary School","Upper Grand DSB","Orangeville","932450","Orangeville District Secondary School","Upper Grand DSB","Orangeville",0,TRUE
"Ajax High School","Durham DSB","Ajax","890855","Ajax High School","Durham DSB","Ajax",0,TRUE
"St. Dominic Catholic Elementary School","Halton CDSB","Oakville","786861","St. Dominic Catholic Elementary School","Halton CDSB","Oakville",0,TRUE
"Assumption Catholic Secondary School","Halton CDSB","Burlington","688231","Assumption Catholic Secondary School","Halton CDSB","Burlington",0,TRUE
"St. Matthew Catholic Elementary School","Halton CDSB","Oakville","823180","St. Matthew Catholic Elementary School","Halton CDSB","Oakville",0,TRUE
"Opeongo High School","Renfrew County DSB","Douglas","932434","Opeongo High School","Renfrew County DSB","Douglas",0,TRUE
"Osprey Central School","Bluewater DSB","Maxwell","093939","Osprey Central School","Bluewater DSB","Maxwell",0,TRUE
"Grimsby Secondary School","Niagara DSB","Grimsby","914517","Grimsby Secondary School","DSB Niagara","Grimsby",0,TRUE
"Port Weller Public School","Niagara DSB","St Catharines","451568","Port Weller Public School","DSB Niagara","St Catharines",0,TRUE
"Flamborough Centre School","Hamilton-Wentworth DSB","Hamilton","198668","Flamborough Centre School","Hamilton-Wentworth DSB","Hamilton",0,TRUE
"Westdale Secondary School","Hamilton-Wentworth DSB","Hamilton","951820","Westdale Secondary School","Hamilton-Wentworth DSB","Hamilton",0,TRUE
"Highview Public School","Hamilton-Wentworth DSB","Hamilton","256048","Highview Public School","Hamilton-Wentworth DSB","Hamilton",0,TRUE
"Sir Allan MacNab Secondary School","Hamilton-Wentworth DSB","Hamilton","941719","Sir Allan MacNab Secondary School","Hamilton-Wentworth DSB","Hamilton",0,TRUE
"Glendale Secondary School","Hamilton-Wentworth DSB","Hamilton","913081","Glendale Secondary School","Hamilton-Wentworth DSB","Hamilton",0,TRUE
"Sacred Heart of Jesus Catholic Elementary School","Hamilton-Wentworth CDSB","Hamilton","756180","Sacred Heart of Jesus Catholic Elementary School","Hamilton-Wentworth CDSB","Hamilton",0,TRUE
"Resurrection Catholic Secondary School","Waterloo CDSB","Kitchener","753009","Resurrection Catholic Secondary School","Waterloo CDSB","Kitchener",0,TRUE
"Westmount Public School","Waterloo Regional DSB","Kitchener","602230","Westmount Public School","Waterloo Region DSB","Kitchener",0,TRUE
"Sunset Heights Public School","Durham DSB","Oshawa","543861","Sunset Heights Public School","Durham DSB","Oshawa",0,TRUE
"Lumen Christi Catholic Elementary School","Halton CDSB","Milton","687394","Lumen Christi Catholic Elementary School","Halton CDSB","Milton",0,TRUE
"Norwell District Secondary School","Upper Grand DSB","Palmerston","931284","Norwell District Secondary School","Upper Grand DSB","Palmerston",0,TRUE
"Keatsway Public School","Waterloo Regional DSB","Waterloo","288241","Keatsway Public School","Waterloo Region DSB","Waterloo",0,TRUE
"Oodenawi Public School","Halton DSB","Oakville","076727","Oodenawi Public School","Halton DSB","Oakville",0,TRUE
"St. Marguerite d'Youville Catholic Elementary School","Halton DSB","Oakville","821241","St. Marguerite d'Youville Catholic Elementary School","Halton CDSB","Oakville",0,TRUE
"Fellowes High School","Renfrew County DSB","Pembroke","925365","Fellowes High School","Renfrew County DSB","Pembroke",0,TRUE
"Walpole North Elementary School","Grand Erie DSB","Hagersville","584037","Walpole North Elementary School","Grand Erie DSB","Hagersville",0,TRUE
"Brant Hills Public School","Halton DSB","Burlington","059501","Brant Hills Public School","Halton DSB","Burlington",0,TRUE
"Garth Webb Secondary School","Halton DSB","Oakville","901439","Garth Webb Secondary School","Halton DSB","Oakville",0,TRUE
"Maple Ridge Public School","Durham DSB","Pickering","328740","Maple Ridge Public School","Durham DSB","Pickering",0,TRUE
"J Addison School","Private","Markham","666092","J Addison School","Private","Markham",0,TRUE
"École élémentaire catholique Montfort","CECCE","Ottawa","732397","École élémentaire catholique Montfort","CSDC du Centre-Est de l'Ontario","Ottawa",0,TRUE
"Twin Lakes Secondary School","Simcoe County DSB","Orillia","948870","Twin Lakes Secondary School","Simcoe County DSB","Orillia",0,TRUE
"Pine Ridge Secondary School","Durham DSB","Pickering","935360","Pine Ridge Secondary School","Durham DSB","Pickering",0,TRUE
"École secondaire publique Louis-Riel","CEPEO","Gloucester","904945","École secondaire publique Louis-Riel","CÉP de l'Est de l'Ontario","Gloucester",0,TRUE
"Jean Augustine Secondary School","TBA","Brampton","935244","Jean Augustine Secondary School","Peel DSB","Brampton",0,TRUE
"École élémentaire catholique Saint-Jean-Paul II","CECCE","Stittsville","156159","École élémentaire catholique Saint-Jean-Paul II","CSDC du Centre-Est de l'Ontario","Stittsville",0,TRUE
"St. Thomas Aquinas Catholic Secondary School","Halton CDSB","Oakville","854212","St. Thomas Aquinas Catholic Secondary School","Halton CDSB","Oakville",0,TRUE
"Emily Carr Public School","Halton DSB","Oakville","206470","Emily Carr Public School","Halton DSB","Oakville",0,TRUE
"Eastdale Secondary School","Niagara DSB","Welland","906972","Eastdale Secondary School","DSB Niagara","Welland",0,TRUE
"École secondaire catholique l'Essor","TBA","Tecumseh","728772","École secondaire catholique l'Essor","Conseil scolaire catholique Providence","Tecumseh",0,TRUE
"Golden Learning Centre","Keewatin Patricia DSB","Balmertown","030759","Golden Learning Centre","Keewatin-Patricia DSB","Balmertown",0,TRUE
"École élémentaire catholique Au Coeur d'Ottawa","CECCE","Ottawa","866248","École élémentaire catholique Au Coeur d'Ottawa","CSDC du Centre-Est de l'Ontario","Ottawa",0,TRUE
"Maple Grove Public School","Halton DSB","Oakville","334693","Maple Grove Public School","Halton DSB","Oakville",0,TRUE
"Sunningdale Public School","Halton DSB","Oakville","543217","Sunningdale Public School","Halton DSB","Oakville",0,TRUE
"Russell Reid Public School","Grand Erie DSB","Brantford","494208","Russell Reid Public School","Grand Erie DSB","Brantford",0,TRUE
"Mary Ward Catholic Elementary School","Niagara CDSB","Niagara Falls","730831","Mary Ward Catholic Elementary School","Niagara CDSB","Niagara Falls",0,TRUE
"Father F X O'Reilly School","Simcoe Muskoka CDSB","Tottenham","706930","Father F X O'Reilly School","Simcoe Muskoka CDSB","Tottenham",0,TRUE
"St. Anthony of Padua Catholic Elementary School","Halton CDSB","Milton","683661","St. Anthony of Padua Catholic Elementary School","Halton CDSB","Milton",0,TRUE
"École élémentaire catholique George-Étienne-Cartier","CECCE","Ottawa","864730","École élémentaire catholique George-Étienne-Cartier","CSDC du Centre-Est de l'Ontario","Ottawa",0,TRUE
"Kingsville District High School","Greater Essex County DSB","Kingsville","920100","Kingsville District High School","Greater Essex County DSB","Kingsville",0,TRUE
"Bear Creek Secondary School","Simcoe County DSB","Barrie","894060","Bear Creek Secondary School","Simcoe County DSB","Barrie",0,TRUE
"École élémentaire publique Marie-Curie","CEPEO","Ottawa","164852","École élémentaire publique Marie-Curie","CÉP de l'Est de l'Ontario","Ottawa",0,TRUE
"Riverside Public School","Waterloo Regional DSB","Elmira","486140","Riverside Public School","Waterloo Region DSB","Elmira",0,TRUE
"Huron Heights Secondary School","Waterloo Regional DSB","Kitchener","917931","Huron Heights Secondary School","Waterloo Region DSB","Kitchener",0,TRUE
"Williamsburg Public School","Waterloo Regional DSB","Kitchener","278280","Williamsburg Public School","Waterloo Region DSB","Kitchener",0,TRUE
"Clemens Mill Public School","Waterloo Regional DSB","Cambridge","108693","Clemens Mill Public School","Waterloo Region DSB","Cambridge",0,TRUE
"Forest Heights Collegiate Institute","Waterloo Regional DSB","Kitchener","910350","Forest Heights Collegiate Institute","Waterloo Region DSB","Kitchener",0,TRUE
"St. Andrew Catholic Elementary School","Halton CDSB","Oakville","768936","St. Andrew Catholic Elementary School","Halton CDSB","Oakville",0,TRUE
"St. Ignatius of Loyola Catholic Secondary School","Halton CDSB","Oakville","798010","St. Ignatius of Loyola Catholic Secondary School","Halton CDSB","Oakville",0,TRUE
"Preston High School","Waterloo Regional DSB","Cambridge","936480","Preston High School","Waterloo Region DSB","Cambridge",0,TRUE
"Forest Hill Public School","Waterloo Regional DSB","Kitchener","201448","Forest Hill Public School","Waterloo Region DSB","Kitchener",0,TRUE
"Cameron Heights Collegiate Institute","Waterloo Regional DSB","Kitchener","898090","Cameron Heights Collegiate Institute","Waterloo Region DSB","Kitchener",0,TRUE
"Ecole Gron Morgan Public School","TBA","Thunder Bay","236136","Ecole Gron Morgan Public School","Lakehead DSB","Thunder Bay",0,TRUE
"Kitchener Waterloo Collegiate and Vocational School","Waterloo Regional DSB","Kitchener","920495","Kitchener Waterloo Collegiate and Vocational School","Waterloo Region DSB","Kitchener",0,TRUE
"Guardian Angels Catholic Elementary School","Hamilton-Wentworth CDSB","Hamilton","710997","Guardian Angels Catholic Elementary School","Hamilton-Wentworth CDSB","Hamilton",0,TRUE
"Spruce Glen Public School","Trillium Lakelands DSB","Huntsville","099783","Spruce Glen Public School","Trillium Lakelands DSB","Huntsville",0,TRUE
"Branksome Hall","Private","Toronto","886912","Branksome Hall","Private","Toronto",0,TRUE
"The York School","Private","Toronto","884326","The York School","Private","Toronto",0,TRUE
"Edna Staebler Public School","Waterloo Regional DSB","Waterloo","134618","Edna Staebler Public School","Waterloo Region DSB","Waterloo",0,TRUE
"École secondaire catholique Franco-Cité","CECCE","Ottawa","705233","École secondaire catholique Franco-Cité","CSDC du Centre-Est de l'Ontario","Ottawa",0,TRUE
"Cobblestone Elementary School","Grand Erie DSB","Paris","468064","Cobblestone Elementary School","Grand Erie DSB","Paris",0,TRUE
"Sister Catherine Donnelly Catholic School","Simcoe Muskoka CDSB","Barrie","516651","Sister Catherine Donnelly Catholic School","Simcoe Muskoka CDSB","Barrie",0,TRUE
"Nelson High School","Halton DSB","Burlington","928160","Nelson High School","Halton DSB","Burlington",0,TRUE
"West Oak Public School","Halton DSB","Oakville","597260","West Oak Public School","Halton DSB","Oakville",0,TRUE
"Holy Trinity Catholic Secondary School","Halton CDSB","Oakville","704300","Holy Trinity Catholic Secondary School","Halton CDSB","Oakville",0,TRUE
"St. Francis of Assisi Catholic Elementary School","Halton CDSB","Georgetown","792039","St. Francis of Assisi Catholic Elementary School","Halton CDSB","Georgetown",0,TRUE
"St. Patrick Catholic Elementary School","Halton CDSB","Burlington","839442","St. Patrick Catholic Elementary School","Halton CDSB","Burlington",0,TRUE
"Lycée Claudel","Private","Ottawa","888117","Lycée Claudel","Private","Ottawa",0,TRUE
"Ferndale Public School","Niagara DSB","St Catharines","195596","Ferndale Public School","DSB Niagara","St Catharines",0,TRUE
"Admiral Collingwood Elementary School","Simcoe County DSB","Collingwood","003131","Admiral Collingwood Elementary School","Simcoe County DSB","Collingwood",0,TRUE
"Mohawk Gardens Public School","Halton DSB","Burlington","368857","Mohawk Gardens Public School","Halton DSB","Burlington",0,TRUE
"Cadarackque Public School","Durham DSB","Ajax","073547","Cadarackque Public School","Durham DSB","Ajax",0,TRUE
"Goodfellow Public School","Simcoe County DSB","Innisfil","221740","Goodfellow Public School","Simcoe County DSB","Innisfil",0,TRUE
"Worsley Elementary School","Simcoe County DSB","Wasaga Beach","429619","Worsley Elementary School","Simcoe County DSB","Wasaga Beach",0,TRUE
"Rockwood Public School","Renfrew County DSB","Pembroke","011770","Rockwood Public School","Renfrew County DSB","Pembroke",0,TRUE
"Chimo Elementary School","Upper Canada DSB","Smiths Falls","517488","Chimo Elementary School","Upper Canada DSB","Smiths Falls",0,TRUE
"Glenbrook Elementary School","Upper Grand DSB","Shelburne","096502","Glenbrook Elementary School","Upper Grand DSB","Shelburne",0,TRUE
"Hillfield Strathallan College","Private","Hamilton","885568","Hillfield Strathallan College","Private","Hamilton",0,TRUE
"R L Hyslop Elementary School","Hamilton-Wentworth DSB","Stoney Creek","468207","R L Hyslop Elementary School","Hamilton-Wentworth DSB","Stoney Creek",0,TRUE
"Moffat Creek Public School","Waterloo Regional DSB","Cambridge","109487","Moffat Creek Public School","Waterloo Region DSB","Cambridge",0,TRUE
"Mitchell Hepburn Public School","Thames Valley DSB","St Thomas","381568","Mitchell Hepburn Public School","Thames Valley DSB","St Thomas",0,TRUE
"St. Joseph (Acton) Catholic Elementary School","Halton CDSB","Acton","809144","St. Joseph (Acton) Catholic Elementary School","Halton CDSB","Acton",0,TRUE
"Heritage Glen Public School","Halton DSB","Oakville","253340","Heritage Glen Public School","Halton DSB","Oakville",0,TRUE
"Tiger Jeet Singh Public School","Halton DSB","Milton","393777","Tiger Jeet Singh Public School","Halton DSB","Milton",0,TRUE
"McCaskill's Mills Public School","Durham DSB","Cannington","350508","McCaskill's Mills Public School","Durham DSB","Cannington",0,TRUE
"J J O'Neill Catholic School","Algonquin & Lakeshore CDSB","Napanee","735523","J J O'Neill Catholic School","Algonquin and Lakeshore CDSB","Napanee",0,TRUE
"Conestogo Public School","Waterloo Regional DSB","Conestogo","620432","Conestogo Public School","Waterloo Region DSB","Conestogo",0,TRUE
"June Avenue Public School","Upper Grand DSB","Guelph","286729","June Avenue Public School","Upper Grand DSB","Guelph",0,TRUE
"Princess Elizabeth Public School","Upper Grand DSB","Orangeville","457159","Princess Elizabeth Public School","Upper Grand DSB","Orangeville",0,TRUE
"St. Kateri Tekakwitha Catholic Elementary School","Hamilton-Wentworth DSB","Hamilton","866725","St. Kateri Tekakwitha Catholic Elementary School","Hamilton-Wentworth CDSB","Hamilton",0,TRUE
"Highland Heights Public School","Kawartha Pine Ridge DSB","Peterborough","255912","Highland Heights Public School","Kawartha Pine Ridge DSB","Peterborough",0,TRUE
"Sir Ernest Macmillan Public School","Halton DSB","Burlington","515353","Sir Ernest Macmillan Public School","Halton DSB","Burlington",0,TRUE
"École Ste Marguerite Bourgeoys","Kenora CDSB","Kenora","821225","École Ste Marguerite Bourgeoys","Kenora CDSB","Kenora",0,TRUE
"Bradford District High School","Simcoe County DSB","Bradford","895792","Bradford District High School","Simcoe County DSB","Bradford",0,TRUE
"Ecole Arbour Vista Public School","Upper Grand DSB","Guelph","061228","Ecole Arbour Vista Public School","Upper Grand DSB","Guelph",0,TRUE
"Our Lady of Mount Carmel Catholic Elementary School","Niagara CDSB","Niagara Falls","694304","Our Lady of Mount Carmel Catholic Elementary School","Niagara CDSB","Niagara Falls",0,TRUE
"Eden High School","Niagara DSB","St Catharines","907677","Eden High School","DSB Niagara","St Catharines",0,TRUE
"Park Public School","Niagara DSB","Grimsby","433357","Park Public School","DSB Niagara","Grimsby",0,TRUE
"École élémentaire catholique Sainte-Marie","CECCE","Gloucester","709646","École élémentaire catholique Sainte-Marie","CSDC du Centre-Est de l'Ontario","Gloucester",0,TRUE
"Marshall McLuhan Catholic Secondary School","Toronto CDSB","Toronto","730653","Marshall McLuhan Catholic Secondary School","Toronto CDSB","Toronto",0,TRUE
"Seneca Trail Public School","Durham DSB","Oshawa","197235","Seneca Trail Public School","Durham DSB","Oshawa",0,TRUE
"Notre Dame Catholic Secondary School","Durham CDSB","Ajax","738050","Notre Dame Catholic Secondary School","Durham CDSB","Ajax",0,TRUE
"Escarpment View Public School","Halton DSB","Milton","121112","Escarpment View Public School","Halton DSB","Milton",0,TRUE
"Frontenac Public School","Halton DSB","Burlington","206474","Frontenac Public School","Halton DSB","Burlington",0,TRUE
"Waverley Drive Public School","Upper Grand DSB","Guelph","590665","Waverley Drive Public School","Upper Grand DSB","Guelph",0,TRUE
"Harold Longworth Public School","Kawartha Pine Ridge DSB","Bowmanville","244422","Harold Longworth Public School","Kawartha Pine Ridge DSB","Bowmanville",0,TRUE
"Saunders Secondary School","Thames Valley DSB","London","940437","Saunders Secondary School","Thames Valley DSB","London",0,TRUE
"Abbey Park High School","Halton DSB","Oakville","913715","Abbey Park High School","Halton DSB","Oakville",0,TRUE
"École élémentaire catholique Mgr-Rémi-Gaulin","CECCE","Kingston","705420","École élémentaire catholique Mgr-Rémi-Gaulin","CSDC du Centre-Est de l'Ontario","Kingston",0,TRUE
"École élémentaire La Pommeraie","CS Viamonde","London","191313","École élémentaire La Pommeraie","CS Viamonde","London",0,TRUE
"École secondaire Toronto Ouest","CS Viamonde","Toronto","952803","École secondaire Toronto Ouest","CS Viamonde","Toronto",0,TRUE
"Our Lady of Mount Carmel Catholic School","Algonquin & Lakeshore CDSB","Amherstview","706264","Our Lady of Mount Carmel Catholic School","Algonquin and Lakeshore CDSB","Amherstview",0,TRUE
"Valley Way Public School","Niagara DSB","Niagara Falls","569348","Valley Way Public School","DSB Niagara","Niagara Falls",0,TRUE
"Blessed Trinity Catholic Secondary School","Niagara CDSB","Grimsby","690791","Blessed Trinity Catholic Secondary School","Niagara CDSB","Grimsby",0,TRUE
"Saint Michael Catholic High School","Niagara CDSB","Niagara Falls","773662","Saint Michael Catholic High School","Niagara CDSB","Niagara Falls",0,TRUE
"Burlington Central High School","Halton DSB","Burlington","897353","Burlington Central High School","Halton DSB","Burlington",0,TRUE
"William Dunbar Public School","Durham DSB","Pickering","610704","William Dunbar Public School","Durham DSB","Pickering",0,TRUE
"Santa Maria Catholic School","Toronto CDSB","Toronto","763462","Santa Maria Catholic School","Toronto CDSB","Toronto",0,TRUE
"The Holy Trinity Catholic School","Toronto CDSB","Toronto","803403","The Holy Trinity Catholic School","Toronto CDSB","Toronto",0,TRUE
"J F Carmichael Public School","Waterloo Regional DSB","Kitchener","279595","J F Carmichael Public School","Waterloo Region DSB","Kitchener",0,TRUE
"Victory Public School","Upper Grand DSB","Guelph","577014","Victory Public School","Upper Grand DSB","Guelph",0,TRUE
"Mary Wright Public School","Thames Valley DSB","Strathroy","046639","Mary Wright Public School","Thames Valley DSB","Strathroy",0,TRUE
"Northdale Central Public School","Thames Valley DSB","Dorchester","410454","Northdale Central Public School","Thames Valley DSB","Dorchester",0,TRUE
"Pine River Elementary School","Simcoe County DSB","Angus","122092","Pine River Elementary School","Simcoe County DSB","Angus",0,TRUE
"Bishop Ryan Catholic Secondary School","Hamilton-Wentworth DSB","Hannon","689750","Bishop Ryan Catholic Secondary School","Hamilton-Wentworth CDSB","Hannon",0,TRUE
"Collingwood Collegiate Institute","Simcoe County DSB","Collingwood","902551","Collingwood Collegiate Institute","Simcoe County DSB","Collingwood",0,TRUE
"Acton District High School","Halton DSB","Acton","890332","Acton District High School","Halton DSB","Acton",0,TRUE
"Captain R. Wilson Public School","Halton DSB","Oakville","085898","Captain R. Wilson Public School","Halton DSB","Oakville",0,TRUE
"Pine Grove Public School","Halton DSB","Oakville","444022","Pine Grove Public School","Halton DSB","Oakville",0,TRUE
"W I Dick Middle School","Halton DSB","Milton","579874","W I Dick Middle School","Halton DSB","Milton",0,TRUE
"École élémentaire catholique d'enseignement personnalisé Édouard-Bond","CECCE","Ottawa","786634","École élémentaire catholique d'enseignement personnalisé Édouard-Bond","CSDC du Centre-Est de l'Ontario","Ottawa",0,TRUE
"Montgomery Village Public School","Upper Grand DSB","Orangeville","368822","Montgomery Village Public School","Upper Grand DSB","Orangeville",0,TRUE
"Waterloo Collegiate Institute","Waterloo Regional DSB","Waterloo","950912","Waterloo Collegiate Institute","Waterloo Region DSB","Waterloo",0,TRUE
"Elmira District Secondary School","Waterloo Regional DSB","Elmira","908142","Elmira District Secondary School","Waterloo Region DSB","Elmira",0,TRUE
"Southwood Park Public School","Durham DSB","Ajax","526673","Southwood Park Public School","Durham DSB","Ajax",0,TRUE
"Christ the King Catholic Secondary School","Halton CDSB","Georgetown","697125","Christ the King Catholic Secondary School","Halton CDSB","Georgetown",0,TRUE
"Craig Kielburger Secondary School","Halton DSB","Milton","967740","Craig Kielburger Secondary School","Halton DSB","Milton",0,TRUE
"Colonel Cameron Public School","Lambton-Kent DSB","Corunna","118583","Colonel Cameron Public School","Lambton Kent DSB","Corunna",0,TRUE
"Canadian Martyrs Catholic Elementary School","Niagara CDSB","St Catharines","693910","Canadian Martyrs Catholic Elementary School","Niagara CDSB","St Catharines",0,TRUE
"Barrie North Collegiate Institute","Simcoe County DSB","Barrie","893323","Barrie North Collegiate Institute","Simcoe County DSB","Barrie",0,TRUE
"Tecumseth Beeton Elementary School","Simcoe County DSB","Beeton","040509","Tecumseth Beeton Elementary School","Simcoe County DSB","Beeton",0,TRUE
"Northern Dancer Public School","Durham DSB","Oshawa","493816","Northern Dancer Public School","Durham DSB","Oshawa",0,TRUE
"Queen of Heaven Catholic Elementary School","Durham DSB","Milton","810355","Queen of Heaven Catholic Elementary School","Halton CDSB","Milton",0,TRUE
"Kortright Hills Public School","Upper Grand DSB","Guelph","145882","Kortright Hills Public School","Upper Grand DSB","Guelph",0,TRUE
"Sir Frederick Banting Secondary School","Thames Valley DSB","London","941743","Sir Frederick Banting Secondary School","Thames Valley DSB","London",0,TRUE
"Lydia Trull Public School","Kawartha Pine Ridge DSB","Courtice","325040","Lydia Trull Public School","Kawartha Pine Ridge DSB","Courtice",0,TRUE
"Brant Hills Public School","Halton DSB","Burlington","059501","Brant Hills Public School","Halton DSB","Burlington",0,TRUE
"Gladys Speers Public School","Halton DSB","Oakville","216267","Gladys Speers Public School","Halton DSB","Oakville",0,TRUE
"Iroquois Ridge High School","Halton DSB","Oakville","918300","Iroquois Ridge High School","Halton DSB","Oakville",0,TRUE
"Post's Corners Public School","Halton DSB","Oakville","451720","Post's Corners Public School","Halton DSB","Oakville",0,TRUE
"École élémentaire catholique Pierre-Elliott-Trudeau","CECCE","Nepean","688762","École élémentaire catholique Pierre-Elliott-Trudeau","CSDC du Centre-Est de l'Ontario","Nepean",0,TRUE
"Pope Francis Catholic School","Toronto CDSB","Toronto","820814","Pope Francis Catholic School","Toronto CDSB","Toronto",0,TRUE
"Sherwood Secondary School","Hamilton-Wentworth DSB","Hamilton","941328","Sherwood Secondary School","Hamilton-Wentworth DSB","Hamilton",0,TRUE
"Bennetto Elementary School","Hamilton-Wentworth DSB","Hamilton","090131","Bennetto Elementary School","Hamilton-Wentworth DSB","Hamilton",0,TRUE
"St. David Catholic Elementary School","Hamilton-Wentworth CDSB","Hamilton","786152","St. David Catholic Elementary School","Hamilton-Wentworth CDSB","Hamilton",0,TRUE
"St. Mary Catholic Secondary School","Hamilton-Wentworth CDSB","Hamilton","827401","St. Mary Catholic Secondary School","Hamilton-Wentworth CDSB","Hamilton",0,TRUE
"Falgarwood Public School","Halton DSB","Oakville","193046","Falgarwood Public School","Halton DSB","Oakville",0,TRUE
"Blessed Sacrament Catholic School","Toronto CDSB","Toronto","690538","Blessed Sacrament Catholic School","Toronto CDSB","Toronto",0,TRUE
"Bishop Marrocco/Thomas Merton Catholic Secondary School","Toronto CDSB","Toronto","691798","Bishop Marrocco/Thomas Merton Catholic Secondary School","Toronto CDSB","Toronto",0,TRUE
"Wilson Avenue Public School","Waterloo Regional DSB","Kitchener","612502","Wilson Avenue Public School","Waterloo Region DSB","Kitchener",0,TRUE
"Chippewa Secondary School","Near North DSB","North Bay","901385","Chippewa Secondary School","Near North DSB","North Bay",0,TRUE
"Tecumseh Public School","Lambton-Kent DSB","Chatham","548707","Tecumseh Public School","Lambton Kent DSB","Chatham",0,TRUE
"Stevensville Public School","Niagara DSB","Stevensville","536636","Stevensville Public School","DSB Niagara","Stevensville",0,TRUE
"Saint Paul Catholic High School","Niagara CDSB","Niagara Falls","761710","Saint Paul Catholic High School","Niagara CDSB","Niagara Falls",0,TRUE
"École élémentaire Félix-Leclerc","CS Viamonde","Etobicoke","194069","École élémentaire Félix-Leclerc","CS Viamonde","Etobicoke",0,TRUE
"Tait Street Public School","Waterloo Regional DSB","Cambridge","547506","Tait Street Public School","Waterloo Region DSB","Cambridge",0,TRUE
"J F Carmichael Public School","Waterloo Regional DSB","Kitchener","279595","J F Carmichael Public School","Waterloo Region DSB","Kitchener",0,TRUE
"Dundas Valley Secondary School","Hamilton-Wentworth DSB","Dundas","916579","Dundas Valley Secondary School","Hamilton-Wentworth DSB","Dundas",0,TRUE
